Frequency (Hz)	Level (dB)
5415.600586	-64.504852
5426.367188	-63.250542
5437.133789	-62.093262
5447.900391	-58.270466
5458.666992	-57.023911
5469.433594	-61.071766
5480.200195	-65.616547
5490.966797	-65.585213
5501.733398	-64.779037
5512.500000	-63.853329
5523.266602	-62.433525
5534.033203	-63.417160
5544.799805	-64.496391
5555.566406	-64.056839
5566.333008	-63.385620
5577.099609	-63.425140
5587.866211	-62.753033
5598.632812	-62.980453
5609.399414	-63.975937
5620.166016	-64.251785
5630.932617	-63.779938
5641.699219	-61.997669
5652.465820	-60.331200
5663.232422	-62.910675
5673.999023	-64.250488
5684.765625	-64.665939
5695.532227	-64.590668
5706.298828	-62.186069
5717.065430	-61.320347
5727.832031	-61.043385
5738.598633	-63.019009
5749.365234	-64.207817
5760.131836	-64.348328
5770.898438	-64.277702
5781.665039	-63.896271
5792.431641	-63.758060
5803.198242	-63.578728
5813.964844	-62.922302
5824.731445	-62.077293
5835.498047	-61.462143
5846.264648	-62.140781
5857.031250	-63.378166
5867.797852	-63.425629
5878.564453	-62.639088
5889.331055	-61.386402
5900.097656	-61.312866
5910.864258	-61.372841
5921.630859	-61.942501
5932.397461	-62.658268
5943.164062	-62.154526
5953.930664	-59.623222
5964.697266	-59.099056
5975.463867	-60.732632
5986.230469	-61.819916
5996.997070	-62.626038
6007.763672	-63.048603
6018.530273	-63.416878
6029.296875	-63.578724
6040.063477	-63.644985
6050.830078	-63.138603
6061.596680	-62.560257
6072.363281	-63.000294
6083.129883	-63.256237
6093.896484	-63.022449
6104.663086	-62.915661
6115.429688	-62.657139
6126.196289	-62.672104
6136.962891	-62.843834
6147.729492	-63.364750
6158.496094	-63.511570
6169.262695	-63.353004
6180.029297	-63.137249
6190.795898	-63.054558
6201.562500	-62.776936
6212.329102	-62.395340
6223.095703	-62.807499
6233.862305	-63.585968
6244.628906	-63.484879
6255.395508	-63.494904
6266.162109	-63.329872
6276.928711	-63.300026
6287.695312	-63.037296
6298.461914	-61.859753
6309.228516	-61.793884
6319.995117	-62.130592
6330.761719	-62.219742
6341.528320	-62.471504
6352.294922	-62.863819
6363.061523	-62.854637
6373.828125	-62.954067
6384.594727	-62.427662
6395.361328	-62.571487
6406.127930	-63.305801
6416.894531	-63.414715
6427.661133	-63.632523
6438.427734	-63.661827
6449.194336	-63.246830
6459.960938	-63.507645
6470.727539	-63.336624
6481.494141	-62.259521
6492.260742	-61.947662
6503.027344	-62.325665
6513.793945	-61.923763
6524.560547	-62.782757
6535.327148	-63.505707
6546.093750	-63.860107
6556.860352	-64.384918
6567.626953	-64.325081
6578.393555	-63.911678
6589.160156	-63.856789
6599.926758	-63.576469
6610.693359	-63.398098
6621.459961	-63.346443
6632.226562	-63.779629
6642.993164	-64.031975
6653.759766	-64.082207
6664.526367	-64.278755
6675.292969	-64.099777
6686.059570	-63.490650
6696.826172	-61.783672
6707.592773	-60.571270
6718.359375	-61.747639
6729.125977	-63.048851
6739.892578	-63.865982
6750.659180	-64.046799
6761.425781	-64.290230
6772.192383	-64.424187
6782.958984	-63.762634
6793.725586	-63.971035
6804.492188	-64.070946
6815.258789	-63.526695
6826.025391	-63.396111
6836.791992	-63.591324
6847.558594	-63.497169
6858.325195	-63.439163
6869.091797	-63.878128
6879.858398	-64.201530
6890.625000	-64.525757
6901.391602	-64.399521
6912.158203	-63.884212
6922.924805	-63.636955
6933.691406	-63.105228
6944.458008	-62.691589
6955.224609	-62.903492
6965.991211	-63.263805
6976.757812	-63.733406
6987.524414	-63.815907
6998.291016	-63.857117
7009.057617	-64.257500
7019.824219	-64.675682
7030.590820	-64.903831
7041.357422	-64.534157
7052.124023	-63.125801
7062.890625	-62.916855
7073.657227	-63.491173
7084.423828	-62.199310
7095.190430	-61.638649
7105.957031	-61.101974
7116.723633	-60.377716
7127.490234	-62.499733
7138.256836	-64.008324
7149.023438	-64.181465
7159.790039	-62.696117
7170.556641	-62.113014
7181.323242	-64.470688
7192.089844	-65.050644
7202.856445	-64.966927
7213.623047	-64.747429
7224.389648	-64.853249
7235.156250	-65.481194
7245.922852	-65.355583
7256.689453	-64.883812
7267.456055	-64.681824
7278.222656	-64.325333
7288.989258	-64.233238
7299.755859	-64.436348
7310.522461	-64.537514
7321.289062	-64.577835
7332.055664	-64.854614
7342.822266	-64.547005
7353.588867	-64.450241
7364.355469	-64.062180
7375.122070	-63.340614
7385.888672	-62.957878
7396.655273	-63.778633
7407.421875	-64.438034
7418.188477	-64.420998
7428.955078	-64.703590
7439.721680	-64.847260
7450.488281	-64.610596
7461.254883	-64.662498
7472.021484	-65.052200
7482.788086	-65.006485
7493.554688	-64.515190
7504.321289	-64.591179
7515.087891	-64.758949
7525.854492	-64.038193
7536.621094	-64.098862
7547.387695	-63.899666
7558.154297	-63.177677
7568.920898	-61.934212
7579.687500	-61.357243
7590.454102	-61.537113
7601.220703	-62.080044
7611.987305	-59.738819
7622.753906	-54.209633
7633.520508	-56.469620
7644.287109	-61.319977
7655.053711	-60.961342
7665.820312	-62.937157
7676.586914	-64.062149
7687.353516	-63.014671
7698.120117	-63.148960
7708.886719	-63.433788
7719.653320	-63.639183
7730.419922	-63.856358
7741.186523	-64.134483
7751.953125	-63.945621
7762.719727	-63.960495
7773.486328	-63.948063
7784.252930	-63.961224
7795.019531	-64.247246
7805.786133	-64.121613
7816.552734	-63.541916
7827.319336	-63.571526
7838.085938	-63.853497
7848.852539	-64.202263
7859.619141	-64.524368
7870.385742	-64.946625
7881.152344	-65.195366
7891.918945	-64.667336
7902.685547	-64.327286
7913.452148	-64.318977
7924.218750	-62.798950
7934.985352	-61.952065
7945.751953	-62.999912
7956.518555	-64.803932
7967.285156	-64.370422
7978.051758	-64.069878
7988.818359	-63.413418
7999.584961	-63.359257
8010.351562	-63.745113
8021.118164	-63.481140
8031.884766	-62.903000
8042.651367	-61.729004
8053.417969	-62.799206
8064.184570	-63.100140
8074.951172	-63.807278
8085.717773	-63.946312
8096.484375	-64.031433
8107.250977	-63.610989
8118.017578	-63.638874
8128.784180	-63.717484
8139.550781	-63.710522
8150.317383	-63.603771
8161.083984	-63.831802
8171.850586	-63.626228
8182.617188	-63.628441
8193.383789	-63.961937
8204.150391	-63.977242
8214.916992	-63.953434
8225.683594	-63.814465
8236.450195	-63.655670
8247.216797	-63.905727
8257.983398	-64.230881
8268.750000	-64.052330
8279.516602	-64.083450
8290.283203	-64.060722
8301.049805	-63.874367
8311.816406	-64.134720
8322.583008	-63.933678
8333.349609	-63.414124
8344.116211	-63.754078
8354.882812	-64.529060
8365.649414	-64.877060
8376.416016	-64.833031
8387.182617	-64.747772
8397.949219	-64.952950
8408.715820	-64.844574
8419.482422	-64.613335
8430.249023	-64.497414
8441.015625	-64.553429
8451.782227	-64.574463
8462.548828	-64.290909
8473.315430	-64.065918
